object,color,name,color_simp,name_simp,depth_order,depth,depth_from_center,reference
moon,#5f2742,solid inner core,#5f2742,core,0,240,240,https://solarsystem.nasa.gov/moons/earths-moon/in-depth/
moon,#cb2855,liquid iron shell,#cb2855,iron shell,1,90,330,https://solarsystem.nasa.gov/moons/earths-moon/in-depth/
moon,#e07625,partially molten layer,#e07625,molten,2,150,480,https://solarsystem.nasa.gov/moons/earths-moon/in-depth/
moon,#eabf80,mantle,#eabf80,mantle,3,1176,1656,https://solarsystem.nasa.gov/moons/earths-moon/in-depth/
moon,#e6dfcf,crust,#e6dfcf,crust,4,81.5,1737.5,https://solarsystem.nasa.gov/moons/earths-moon/in-depth/
mars,#542a3e,core,#e07625,core,0,1800,1800,https://solarsystem.nasa.gov/planets/mars/in-depth/
mars,#cc3b3a,mantle,#cc3b3a,mantle,1,1560,3360,https://solarsystem.nasa.gov/planets/mars/in-depth/
mars,#e6dfcf,crust,#e6dfcf,crust,2,30,3390,https://solarsystem.nasa.gov/planets/mars/in-depth/
mars,#9cbfab,atmosphere,#9cbfab,atmosphere,3,50,3440,https://solarsystem.nasa.gov/planets/mars/in-depth/
mercury,#e07625,metallic core,#e07625,core,0,2074,2074,https://solarsystem.nasa.gov/planets/mercury/in-depth/
mercury,#e6dfcf,outer shell,#e6dfcf,crust,1,400,2474,https://solarsystem.nasa.gov/planets/mercury/in-depth/
venus,#e07625,iron core,#e07625,core,0,3200,3200,https://solarsystem.nasa.gov/planets/venus/in-depth/
venus,#e6dfcf,mantle and crust,#e6dfcf,crust,1,2852,6052,https://solarsystem.nasa.gov/planets/venus/in-depth/
venus,#9cbfab,troposphere,#9cbfab,troposphere,2,62,6114,https://iopscience.iop.org/article/10.1088/0034-4885/66/10/R04/pdf
venus,#527d7a,mesosphere,#527d7a,mesosphere,3,38,6152,https://iopscience.iop.org/article/10.1088/0034-4885/66/10/R04/pdf
venus,#254853,ionosphere,#254853,ionosphere,4,162.5,6314.5,https://iopscience.iop.org/article/10.1088/0034-4885/66/10/R04/pdf
earth,#542A3E,inner core,#542a3e,inner core,0,1221,1221,http://hyperphysics.phy-astr.gsu.edu/hbase/Geophys/earthstruct.html
earth,#a54657,outer core,#a54657,outer core,1,2259,3480,https://www.ccsf.edu/Departments/History_of_Time_and_Life/content/EarthScale.htm
earth,#D04D19,lower mantle,#D04D19,lower mantle,2,2171,5651,http://hyperphysics.phy-astr.gsu.edu/hbase/Geophys/earthstruct.html
earth,#F0A031,athenosphere,#F0A031,athenosphere,3,620,6271,https://www.ccsf.edu/Departments/History_of_Time_and_Life/content/EarthScale.htm
earth,#E5D352,lithosphere,#E5D352,lithosphere,4,100,6371,http://hyperphysics.phy-astr.gsu.edu/hbase/Geophys/earthstruct.html
earth,#353531,crust,#e6dfcf,crust,5,30,6401,https://www.ccsf.edu/Departments/History_of_Time_and_Life/content/EarthScale.htm
earth,#63adf2,troposphere,#63adf2,troposphere,6,12,6413,https://www.ccsf.edu/Departments/History_of_Time_and_Life/content/EarthScale.htm
earth,#a7cced,stratosphere,#a7cced,stratosphere,7,38,6451,https://www.ccsf.edu/Departments/History_of_Time_and_Life/content/EarthScale.htm
earth,#82a0bc,mesosphere,#82a0bc,mesosphere,8,30,6481,https://www.ccsf.edu/Departments/History_of_Time_and_Life/content/EarthScale.htm
earth,#545e75,ionosphere,#545e75,ionosphere,9,400,6881,https://www.ccsf.edu/Departments/History_of_Time_and_Life/content/EarthScale.htm
jupiter,#272635,core,#272635,core,0,25500,25500,https://www.astronomynotes.com/solarsys/s8.htm
jupiter,#7C98B3,metallic hydrogen,#7C98B3,metallic hydrogen,1,38000,63500,https://www.astronomynotes.com/solarsys/s8.htm
jupiter,#BFEDEF,liquid hydrogen,#BFEDEF,liquid hydrogen,2,20000,83500,https://www.astronomynotes.com/solarsys/s8.htm
jupiter,#BBC7CE,atmosphere,#BBC7CE,atmosphere,3,1000,84500,https://www.astronomynotes.com/solarsys/s8.htm
saturn,#272635,core,#272635,core,0,26000,26000,https://www.astronomynotes.com/solarsys/s8.htm
saturn,#4F7CAC,ice core,#4F7CAC,ice core,1,3500,29500,https://www.astronomynotes.com/solarsys/s8.htm
saturn,#7C98B3,metallic hydrogen,#7C98B3,metallic hydrogen,2,12000,41500,https://www.astronomynotes.com/solarsys/s8.htm
saturn,#BFEDEF,liquid hydrogen,#BFEDEF,liquid hydrogen,3,28000,69500,https://www.astronomynotes.com/solarsys/s8.htm
saturn,#BBC7CE,atmosphere,#BBC7CE,atmosphere,4,2000,71500,https://www.astronomynotes.com/solarsys/s8.htm
neptune,#272635,core,#272635,core,0,8000,8000,https://www.astronomynotes.com/solarsys/s8.htm
neptune,#A5D8FF,mantle,#A5D8FF,mantle,1,7000,15000,https://www.astronomynotes.com/solarsys/s8.htm
neptune,#BBC7CE,atmosphere,#BBC7CE,atmosphere,2,9000,24000,https://www.astronomynotes.com/solarsys/s8.htm
uranus,#272635,core,#272635,core,0,8500,8500,https://www.astronomynotes.com/solarsys/s8.htm
uranus,#A5D8FF,mantle,#A5D8FF,mantle,1,7000,15500,https://www.astronomynotes.com/solarsys/s8.htm
uranus,#BBC7CE,atmosphere,#BBC7CE,atmosphere,2,10000,25500,https://www.astronomynotes.com/solarsys/s8.htm
