r,r*,P,T
0.00,6371.00,363.85,5151.00
200.00,6171.00,362.90,5119.00
400.00,5971.00,360.03,5087.00
600.00,5771.00,355.28,5064.00
800.00,5571.00,348.67,5041.00
1000.00,5371.00,340.24,5003.00
1200.00,5171.00,330.05,4965.00
1221.50,5149.50,328.85,4961.00
1400.00,4971.00,318.75,4907.00
1600.00,4771.00,306.15,4846.00
1800.00,4571.00,292.22,4769.00
2000.00,4371.00,277.04,4693.00
2200.00,4171.00,260.68,4597.00
2400.00,3971.00,243.25,4501.00
2600.00,3771.00,224.85,4383.00
2800.00,3571.00,205.60,4265.00
3000.00,3371.00,185.64,4123.00
3200.00,3171.00,165.12,3981.00
3400.00,2971.00,144.19,3816.00
3480.00,2891.00,135.75,3750.00
3600.00,2771.00,128.71,3601.00
3630.00,2741.00,126.97,3564.00
3800.00,2571.00,117.35,3018.00
4000.00,2371.00,106.39,2865.00
4200.00,2171.00,95.76,2712.00
4400.00,1971.00,85.43,2610.00
4600.00,1771.00,75.36,2509.00
4800.00,1571.00,65.52,2411.00
5000.00,1371.00,55.90,2313.00
5200.00,1171.00,46.49,2211.00
5400.00,971.00,37.29,2109.00
5600.00,771.00,28.29,2003.00
5701.00,670.00,23.83,1950.00
5771.00,600.00,21.04,1906.00
5871.00,500.00,17.13,1842.00
5971.00,400.00,13.35,1779.00
6016.00,355.00,10.78,1750.00
6061.00,310.00,10.20,1714.00
6151.00,220.00,7.11,1622.00
6221.00,150.00,4.78,1550.00
6291.00,80.00,2.45,1155.00
6331.00,40.00,1.12,930.00
6346.60,24.40,0.60,743.00
6356.00,15.00,0.34,630.00
6368.00,3.00,0.30,366.00
6371.00,0.00,0.00,300.00
